pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
194.641668,483.114147,197.261528,481.218313,NaN,NaN,NaN,NaN
195.096641,483.514085,197.759741,481.568670,NaN,NaN,NaN,NaN
196.158247,484.413945,198.257954,481.919027,NaN,NaN,NaN,NaN
196.992365,484.313961,198.822594,482.094206,NaN,NaN,NaN,NaN
197.144023,484.913868,199.254379,482.138001,NaN,NaN,NaN,NaN
197.826484,484.913868,199.951876,482.400769,NaN,NaN,NaN,NaN
198.129799,485.213821,200.516517,482.444563,NaN,NaN,NaN,NaN
199.039747,485.813728,201.180801,482.707331,NaN,NaN,NaN,NaN
199.494720,486.113681,201.778656,483.364251,NaN,NaN,NaN,NaN
199.949694,486.713588,202.310082,483.627019,NaN,NaN,NaN,NaN
201.162957,487.913402,202.758961,483.216229,NaN,NaN,NaN,NaN
202.148734,488.113371,203.147312,483.625878,NaN,NaN,NaN,NaN
202.679536,488.613294,204.157025,484.547589,NaN,NaN,NaN,NaN
203.513655,488.713278,204.778387,485.059650,NaN,NaN,NaN,NaN
204.044457,489.113216,205.166738,485.264475,NaN,NaN,NaN,NaN
204.802747,489.713123,205.477419,485.571712,NaN,NaN,NaN,NaN
205.698865,489.266578,205.788100,485.776537,NaN,NaN,NaN,NaN
206.851468,489.617293,206.331791,486.288598,NaN,NaN,NaN,NaN
207.472099,489.851104,206.797812,486.288598,NaN,NaN,NaN,NaN
208.358717,490.435630,207.341504,486.698247,NaN,NaN,NaN,NaN
209.245334,490.786345,207.885195,487.210309,NaN,NaN,NaN,NaN
209.511319,490.786345,208.195876,487.619958,NaN,NaN,NaN,NaN
210.663921,490.084914,208.506557,488.029607,NaN,NaN,NaN,NaN
211.727862,490.669440,209.205589,488.541669,NaN,NaN,NaN,NaN
212.259832,490.201819,209.671610,488.848906,NaN,NaN,NaN,NaN
212.880464,489.968009,209.982291,489.668204,NaN,NaN,NaN,NaN
213.589758,490.435630,210.758993,490.077853,NaN,NaN,NaN,NaN
213.944404,490.435630,211.458025,490.180265,NaN,NaN,NaN,NaN
214.299051,490.318724,212.157057,490.385090,NaN,NaN,NaN,NaN
214.742360,490.201819,212.623078,490.999564,NaN,NaN,NaN,NaN
215.097007,489.851104,212.933759,491.204388,NaN,NaN,NaN,NaN
216.072286,490.552535,213.399781,491.614038,NaN,NaN,NaN,NaN
216.515594,490.786345,214.021142,492.228511,NaN,NaN,NaN,NaN
216.781579,491.253966,214.720174,492.228511,NaN,NaN,NaN,NaN
217.845520,491.721587,215.030855,493.047810,NaN,NaN,NaN,NaN
218.377490,492.072302,215.962898,493.559871,NaN,NaN,NaN,NaN
218.643475,492.306112,216.506589,493.867108,NaN,NaN,NaN,NaN
218.909460,492.423018,216.894940,494.379170,NaN,NaN,NaN,NaN
219.264107,492.656828,217.205621,494.788819,NaN,NaN,NaN,NaN
220.239386,493.241354,217.826983,495.198468,NaN,NaN,NaN,NaN
220.860018,493.942785,218.293004,495.505705,NaN,NaN,NaN,NaN
221.126003,493.942785,219.069706,496.120179,NaN,NaN,NaN,NaN
221.746635,494.176595,219.535727,496.427416,NaN,NaN,NaN,NaN
221.835297,494.410406,220.312430,497.349126,NaN,NaN,NaN,NaN
222.012620,494.527311,220.933791,497.758776,NaN,NaN,NaN,NaN
222.367267,494.878026,221.746635,499.086613,NaN,NaN,NaN,NaN
222.633252,495.579457,222.650000,499.380000,NaN,NaN,NaN,NaN
222.899237,495.813268,222.697294,499.026957,NaN,NaN,NaN,NaN
223.342546,496.397794,223.105960,499.431092,NaN,NaN,NaN,NaN
223.608531,496.631604,223.872208,499.700516,NaN,NaN,NaN,NaN
223.874516,497.216130,224.587373,500.643499,NaN,NaN,NaN,NaN
224.051840,498.034466,225.580000,501.490000,NaN,NaN,NaN,NaN
224.849795,498.618992,225.609037,501.855905,NaN,NaN,NaN,NaN
224.761133,499.086613,226.222035,502.462108,NaN,NaN,NaN,NaN
224.938457,499.554233,226.620000,502.540000,NaN,NaN,NaN,NaN
